"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","cr Cross River State",2024,99867.9456802333,95651.8580993751,0.105,342433.651995763,128412.619498411,385237.858495233,428042.064994703
"ng Federal Government","de Delta State",2020,163593.411410513,156687.049760034,0.105,560939.638140923,210352.364302846,631057.092908538,701174.547676154
"ng Federal Government","de Delta State",2021,134207.430514582,128541.645790591,0.105,460179.091930315,172567.159473868,517701.478421604,575223.864912894
"ng Federal Government","de Delta State",2022,135817.526619138,130083.769072194,0.105,465699.893278455,174637.45997942,523912.379938261,582124.866598068
"ng Federal Government","de Delta State",2023,131263.81511847,125722.299900874,0.105,450085.833645131,168782.187616924,506346.562850772,562607.292056413
"ng Federal Government","de Delta State",2024,122592.869652212,117417.41248503,0.105,420354.336696408,157632.876261153,472898.628783459,525442.92087051
"ng Federal Government","eb Ebonyi State",2020,107867.039301806,103313.256987705,0.105,369861.460015983,138698.047505993,416094.14251798,462326.825019978
"ng Federal Government","eb Ebonyi State",2021,84654.8485408666,81081.0065722396,0.105,290270.003528618,108851.251323232,326553.753969695,362837.504410772
"ng Federal Government","eb Ebonyi State",2022,90124.5183402477,86319.7653745486,0.105,309024.760040884,115884.285015331,347652.855045994,386280.950051105
"ng Federal Government","eb Ebonyi State",2023,94472.6954100414,90484.3770849222,0.105,323934.069964022,121475.276236508,364425.828709524,404917.587455027
"ng Federal Government","eb Ebonyi State",2024,82622.6445084149,79134.5953347095,0.105,283301.85129826,106238.194236848,318714.582710543,354127.314122825
"ng Federal Government","ed Edo State",2020,51028.0151922937,48873.7846264931,0.105,174968.148962845,65613.055861067,196839.167583201,218710.186203557
"ng Federal Government","ed Edo State",2021,62459.3184206669,59822.496816812,0.105,214164.538604187,80311.7019765701,240935.10592971,267705.673255234
"ng Federal Government","ed Edo State",2022,71064.6217015414,68064.513238776,0.105,243670.957394818,91376.6090230569,274129.827069171,304588.696743523
"ng Federal Government","ed Edo State",2023,67378.3460001143,64533.8596551221,0.105,231031.217565337,86636.7065870014,259910.119761004,288789.021956671
"ng Federal Government","ed Edo State",2024,61304.6814230444,58716.6046959657,0.105,210205.444811557,78827.041804334,236481.125413002,262756.806014447
"ng Federal Government","ek Ekiti State",2020,18908.3333333333,18110.0873215785,0.105,64834.1126112511,24312.7922292192,72938.3766876575,81042.6407640639
"ng Federal Government","ek Ekiti State",2021,26304.9437190799,25194.4377827278,0.105,90196.0872621655,33823.532723312,101470.598169936,112745.109077707
"ng Federal Government","ek Ekiti State",2022,26088.8469770813,24987.4639157819,0.105,89455.1208184991,33545.6703069372,100637.010920812,111818.901023124
"ng Federal Government","ek Ekiti State",2023,28316.636170825,27121.2033692557,0.105,97093.9080619354,36410.2155232258,109230.646569677,121367.385077419
"ng Federal Government","ek Ekiti State",2024,35327.3026638584,33835.90318616,0.105,121132.533406453,45424.7000274198,136274.100082259,151415.666758066
"ng Federal Government","en Enugu State",2020,69555.4350965719,66619.0393982884,0.105,238496.161045872,89436.0603922022,268308.181176607,298120.201307341
"ng Federal Government","en Enugu State",2021,83160.3456466659,79649.5965458142,0.105,285145.555634015,106929.583362756,320788.750088267,356431.944542519
"ng Federal Government","en Enugu State",2022,78713.254459048,75390.2465378046,0.105,269897.082605341,101211.405977003,303634.217931008,337371.353256676
"ng Federal Government","en Enugu State",2023,84598.710205818,81027.2382082122,0.105,290077.5127854,108779.067294525,326337.201883575,362596.89098175
"ng Federal Government","en Enugu State",2024,75773.7403617882,72574.8288039454,0.105,259817.887118124,97431.7076692967,292295.12300789,324772.358897656
"ng Federal Government","fc Federal Capital Territory",2020,114152.97321543,109333.819988501,0.105,391415.075558835,146780.653334563,440341.96000369,489268.844448544
"ng Federal Government","fc Federal Capital Territory",2021,132054.351828193,126479.462819023,0.105,452796.476892102,169798.678834538,509396.036503615,565995.596115127
"ng Federal Government","fc Federal Capital Territory",2022,122298.388675479,117135.363501169,0.105,419344.601334185,157254.225500319,471762.676500958,524180.751667731
"ng Federal Government","fc Federal Capital Territory",2023,114667.994450023,109827.098764929,0.105,393181.013578447,147442.880091918,442328.640275753,491476.266973059
"ng Federal Government","fc Federal Capital Territory",2024,107183.596602164,102658.666932007,0.105,367518.027616585,137819.260356219,413457.781068658,459397.534520731
"ng Federal Government","go Gombe State",2020,337196.685651124,322961.379727918,0.105,1156201.73942595,433575.65228473,1300726.95685419,1445252.17428243
"ng Federal Government","go Gombe State",2021,292239.741763731,279902.36626761,0.105,1002050.47123804,375768.926714266,1127306.7801428,1252563.08904755
"ng Federal Government","go Gombe State",2022,292118.386988405,279786.134681287,0.105,1001634.36215901,375612.885809628,1126838.65742888,1252042.95269876
"ng Federal Government","go Gombe State",2023,295278.899057698,282813.220598738,0.105,1012471.32974348,379676.748653806,1139030.24596142,1265589.16217935
"ng Federal Government","go Gombe State",2024,297564.514413612,285002.344988998,0.105,1020308.39506061,382615.648147729,1147846.94444319,1275385.49382576
"ng Federal Government","im Imo State",2020,55126.4323291106,52799.1804252418,0.105,189021.065922366,70882.8997208872,212648.699162662,236276.332402957
"ng Federal Government","im Imo State",2021,61199.7391185156,58616.0927013209,0.105,209845.611870729,78692.1044515233,236076.31335457,262307.014838411
"ng Federal Government","im Imo State",2022,56990.540537216,54584.5922767532,0.105,195412.840350776,73279.8151315412,219839.445394624,244266.050438471
"ng Federal Government","im Imo State",2023,54921.1217779948,52602.5373926064,0.105,188317.083865531,70618.9064495741,211856.719348722,235396.354831914
"ng Federal Government","im Imo State",2024,50862.24575124,48715.0134117166,0.105,174399.748013946,65399.9055052296,196199.716515689,217999.685017432
"ng Federal Government","ji Jigawa State",2020,491389.212013022,470644.418075142,0.105,1684907.01670901,631840.131265878,1895520.39379764,2106133.77088626
"ng Federal Government","ji Jigawa State",2021,885344.984885065,847968.707941303,0.105,3035727.97442986,1138397.9904112,3415193.9712336,3794659.96803733
"ng Federal Government","ji Jigawa State",2022,892295.499284827,854625.795083281,0.105,3059560.34639815,1147335.1298993,3442005.38969791,3824450.43299768
"ng Federal Government","ji Jigawa State",2023,943247.35352618,903426.634017115,0.105,3234267.34978127,1212850.25616798,3638550.76850393,4042834.18722659
"ng Federal Government","ji Jigawa State",2024,1044601.68165168,1000502.12451193,0.105,3581797.6057527,1343174.10215726,4029522.30647179,4477247.00719088
