"admin_area_1","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government",2020,9441934.38899893,9043327.78859686,0.105,32375113.4831768,12140667.5561913,36422002.6685738,40468891.8539709
"ng Federal Government",2021,10735397.9666966,10282185.6998909,0.105,36810224.8056096,13803834.3021036,41411502.9063108,46012781.007012
"ng Federal Government",2022,10925437.8351709,10464202.7265627,0.105,37461845.7610944,14048192.1604104,42144576.4812312,46827307.201368
"ng Federal Government",2023,11121892.7594852,10652363.9870696,0.105,38135463.0737092,14300798.652641,42902395.9579229,47669328.8421365
"ng Federal Government",2024,11189439.6620406,10717059.2873912,0.105,38367072.2488604,14387652.0933227,43162956.279968,47958840.3110756
"ng Federal Government",2018,9963683.20805107,9543050.13357516,0.105,34164119,12811545,38434634,42705149
"ng Federal Government",2019,10632869.7521329,10183985.8804812,0.105,36458669,13672001,41016003,45573337
